"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cnnm4",416.140130691536,-0.782832590028963,0.129610197735263,-6.03989966613546,1.54210088331322e-09,1.58913496025427e-05
"Pcf11",1336.65436949361,-0.592335532249615,0.102412773344755,-5.78380521202778,7.30295009861072e-09,3.76284503830917e-05
"Cpne1",2555.35351040947,-0.39487137364305,0.0827279803340285,-4.77312962372209,1.81384963845691e-06,0.00300127557640937
"Mxd1",639.796269561041,-0.555660175728627,0.116992208036734,-4.74954858151028,2.03871218193746e-06,0.00300127557640937
"Zfp710",1457.5080824103,0.433186702181182,0.0884040386832751,4.90007819363501,9.57985203829724e-07,0.00300127557640937
"Prss23",553.816332759924,0.59635612005478,0.124769523148199,4.7796617716206,1.7559033874556e-06,0.00300127557640937
"Ogt",3956.96019238521,0.39620937549744,0.0827135157221969,4.79014066852334,1.66664432520265e-06,0.00300127557640937
"Rbm12",2655.42990577807,0.520587634341092,0.112967386236311,4.60830025094235,4.0597413047659e-06,0.00522945426820158
"Lin28a",531.663970507597,0.638327253748603,0.140745343392991,4.53533479943459,5.75121801019386e-06,0.00658514462167197
"Cstf3",1710.64298273546,-0.406249138289696,0.0908163325568697,-4.47330482141305,7.70198600939576e-06,0.00793689658268233
"Nhlh2",2956.1274880448,0.526444937227421,0.122717233083469,4.28990227370387,1.78751758165849e-05,0.0167457897081734
"Dhx9",10649.7786257629,-0.595964300219328,0.141172589238086,-4.22152985530528,2.42649808196198e-05,0.0183753065485282
"Hexim1",1241.23554296249,-0.458805821348655,0.108260092739916,-4.23799582779675,2.25523959251118e-05,0.0183753065485282
"Hnrnpdl",6299.18547538361,0.325112127211238,0.0771298962459481,4.21512465379878,2.49640263638423e-05,0.0183753065485282
"Gja1",1667.84262239212,0.402616620400592,0.09948035520382,4.04719725392709,5.18345585885276e-05,0.0356103417503185
"Opn3",294.566168244083,-0.563560746074481,0.142290913445468,-3.96062357341223,7.47542955272893e-05,0.0481464384630448
"Mknk2",2598.92077307555,-0.411751425958865,0.105212340951579,-3.91352784506869,9.09574062813555e-05,0.0494875766311726
"Crabp2",3842.70806477345,0.308139818058119,0.0787523484052965,3.9127698957279,9.12434697712062e-05,0.0494875766311726
"Slc35e2",1486.45949385308,-0.344345777568827,0.0878659810098781,-3.91898859616801,8.89213212557054e-05,0.0494875766311726
"Crp",543.937165989701,0.480656925977338,0.123394500947286,3.89528643729976,9.80827502909535e-05,0.0495836964799449
"Fndc5",1589.06597153204,0.389650227850496,0.100216840663518,3.88807135877253,0.000101043922957675,0.0495836964799449
"Olfml3",360.154726300745,0.538894658931088,0.139466609303566,3.86396902901767,0.000111559372581233,0.0522554242931639
