"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dhx9",12586.6918207326,-1.04026654611147,0.0918971694826564,-11.3198975764732,1.04594050703401e-29,1.90800467293145e-25
"Lif",147.544774799087,0.797450457852489,0.215160399943426,3.70630682068898,0.00021030350781675,0.746578365511076
"Plk2",2414.4947252652,0.577082968048821,0.150283025919846,3.83997437180037,0.000123047154747339,0.746578365511076
"Rnpc3",1151.77474605649,0.419856331823255,0.107436970033084,3.90793161510386,9.30896444638051e-05,0.746578365511076
"Cyr61",252.340858153158,-0.749816108110079,0.204485154851031,-3.66684862114478,0.000245558063428706,0.746578365511076
"Trim30a",99.8851888103946,5.21172491793334,1.3893047410625,3.75131874519306,0.000175906898643988,0.746578365511076
"Lsmem1",4.85037305088303,5.7135584773436,1.60361972100513,3.56291357764198,0.000366761448449952,0.955780334660576
"Xkr4",36.8093080767244,0.182849071774379,0.360849588963999,0.506718248728895,0.612352524401245,0.99996920576938
"Rp1",0.151519327558994,-0.967751245039686,4.0804728567969,-0.237166445900428,0.812527666054837,0.99996920576938
"Sox17",49.2072033731116,-0.0226992709331526,0.528945744676266,-0.0429141762867294,0.965769948118832,0.99996920576938
"Mrpl15",2262.61546016081,0.052445698374976,0.0783824945498033,0.669099633485798,0.503431923760046,0.99996920576938
"Lypla1",3734.30239944884,0.0420510076682453,0.084564186619063,0.497267334429324,0.619000543764883,0.99996920576938
"Tcea1",2537.1837470344,0.0597578604713357,0.0847623742136027,0.705004561584658,0.480807397410856,0.99996920576938
"Rgs20",122.049405539518,-0.257733748447064,0.22980678832895,-1.12152365176497,0.262065029658607,0.99996920576938
"Atp6v1h",1242.80115618769,-0.0936789561487055,0.127921495509015,-0.732315986269125,0.463975724126462,0.99996920576938
"Oprk1",19.9120155017617,-0.0802662785325014,0.570769260415025,-0.140628243493942,0.888163634877508,0.99996920576938
"Npbwr1",10.3664588073554,0.462151542840122,1.04114107348569,0.443889454185934,0.657122509433983,0.99996920576938
"Rb1cc1",1775.36103705667,-0.0821600242719594,0.126067260040331,-0.651715792392687,0.514584532917903,0.99996920576938
"Fam150a",1.03810916111367,0.983614060061531,2.34470636493594,0.419504154025873,0.674847719453666,0.99996920576938
"St18",2.76092628538783,-0.305213788561044,1.31204900776524,-0.232623771486175,0.816053566663914,0.99996920576938
"Pcmtd1",774.126719456068,0.0830375816226742,0.129573769120055,0.640851788032319,0.52161898207445,0.99996920576938
"Sntg1",13.8101576815421,-0.0948014333276699,0.600919777960315,-0.15776054775473,0.874645487602463,0.99996920576938
"Rrs1",3814.6338223069,-0.0154951496529348,0.15703455939261,-0.0986735003611186,0.92139750980974,0.99996920576938
"Adhfe1",9.22237788127288,-0.354767235059637,0.740439640534074,-0.479130526836389,0.631845773969968,0.99996920576938
"2610203C22Rik",0.370513697370766,1.99345865270441,4.02692781146769,0.495032130207931,0.620577440478114,0.99996920576938
"3110035E14Rik",0.456143813044492,-2.33095067514928,4.00259602285268,-0.582359714005809,0.560324411255275,0.99996920576938
"Mybl1",819.245312333715,0.15911146049084,0.181486512945766,0.876712312712669,0.380642917307438,0.99996920576938
"Vcpip1",2249.83750684997,0.0444951701272374,0.150474221935732,0.295699619209471,0.767459488015824,0.99996920576938
"1700034P13Rik",6.91386182065142,0.301773449263765,0.846237861422691,0.356605941450581,0.721386828924703,0.99996920576938
"Sgk3",35.7159660958638,-0.161904752376112,0.404222384137802,-0.40053386138289,0.688763348366251,0.99996920576938
"Mcmdc2",0.337304786366881,-0.00597056561082845,4.0804728567969,-0.00146320434429142,0.998832532260975,0.99996920576938
"Snhg6",434.038971710862,-0.0140328271271535,0.121523308222618,-0.115474367283079,0.908069136493432,0.99996920576938
"Snord87",18.4770855505045,0.717438862083247,0.57961851626828,1.23777767953703,0.215798506875505,0.99996920576938
"Tcf24",16.6183421304134,-0.0487493980813163,0.764405173446316,-0.0637742911413458,0.949149949273385,0.99996920576938
"Ppp1r42",1.97465453905518,0.160002450086746,1.63653057880585,0.0977693005916809,0.922115485141611,0.99996920576938
"Cops5",2381.82707651628,0.0176803365311783,0.0849519878032358,0.20812151649858,0.835134087247583,0.99996920576938
"Cspp1",738.272592562316,-0.0574720723105032,0.118734125250401,-0.484040053264375,0.628357443777579,0.99996920576938
"Arfgef1",3057.993634723,-0.187716238730767,0.109130022335838,-1.72011546147298,0.0854114557776538,0.99996920576938
"Cpa6",1.782059059579,-0.986789284523648,2.35232495349032,-0.41949530954874,0.674854181925273,0.99996920576938
"Prex2",1093.83065771129,-0.0781673245139607,0.14441354415035,-0.541274192624066,0.58831860580251,0.99996920576938
"A830018L16Rik",113.550575582584,0.213743849269871,0.493401672431368,0.433204549584502,0.664866173965952,0.99996920576938
"Sulf1",1962.73556968392,0.0753020196812707,0.148307000945054,0.507744200890215,0.611632746095923,0.99996920576938
"Slco5a1",443.217457826244,-0.0926357259920962,0.207998541049755,-0.445367191157063,0.656054418110584,0.99996920576938
"Prdm14",1.05458301223429,1.2248837806345,2.34555975849478,0.522213845201943,0.60152144721815,0.99996920576938
"Ncoa2",2699.91851644114,-0.0440171268014707,0.115201737005774,-0.382087353416074,0.702396571988676,0.99996920576938
"Tram1",3453.66976892072,-0.0615670679196992,0.0799487695204324,-0.770081494549639,0.441251552490095,0.99996920576938
"Lactb2",902.637301587015,0.0789432674773292,0.131502668732312,0.600316847090203,0.548295093082654,0.99996920576938
"Gm5523",5.96752372513577,-0.182749978919828,0.914927792104745,-0.19974251574479,0.841681960978365,0.99996920576938
"Eya1",159.110486951452,-0.128526993519145,0.271318400561713,-0.473712778982384,0.635704739346092,0.99996920576938
"Msc",0.455615202921989,-2.33002424824553,3.92031634100202,-0.594345977613119,0.552280732843771,0.99996920576938
"Trpa1",59.7020305694563,0.0936369204458408,0.677131944477725,0.138284600526509,0.890015495579689,0.99996920576938
"Kcnb2",20.6138671324348,-0.197387055184549,0.529702075043417,-0.372637874164208,0.709417980354763,0.99996920576938
"Terf1",1441.55778747307,0.0586832187520749,0.0893158583546623,0.65703022770101,0.511161480346992,0.99996920576938
"Sbspon",0.88359652952495,0.92388041130874,2.40507618853385,0.384137689988084,0.7008763979052,0.99996920576938
"4930444P10Rik",0.983778519230756,-0.754722133199859,2.67552039246119,-0.282084238762088,0.777878918341407,0.99996920576938
"Rpl7",32466.8589258654,0.0354395635197239,0.0663544857866769,0.534094463992361,0.593276179709018,0.99996920576938
"Rdh10",614.381811337234,-0.131229021630227,0.215218600291915,-0.609747584326972,0.542029027990502,0.99996920576938
"Stau2",657.998510526406,0.0837520340359117,0.123531664614816,0.677980291911866,0.497784189139272,0.99996920576938
"Ube2w",797.055124967904,-0.108301372940227,0.156354198465427,-0.692666867939429,0.488518636021504,0.99996920576938
"Tceb1",2266.01494493679,0.0672248461632187,0.0782081623338796,0.859563045046733,0.390029953274602,0.99996920576938
