"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dhx9",12296.3805686666,-1.06227689993421,0.0637890420032771,-16.6529683872606,2.87957840227201e-62,1.25031294226651e-58
"Rbm5",2566.82628037764,-0.32872853503853,0.0686408890649357,-4.78910660273566,1.67525472968778e-06,0.00363697801815217
"Zmym2",3214.46825387759,-0.408466128477328,0.0931090510728565,-4.38696478774882,1.14943389242027e-05,0.0154714154800879
"Slc38a2",5300.12485161853,-0.358053538647494,0.0834499402209406,-4.29063864754747,1.78160012437677e-05,0.0154714154800879
"Kdm6a",1512.37505267487,-0.405816580376832,0.0945532864866835,-4.29193521934307,1.7712262842948e-05,0.0154714154800879
"March6",4270.39917196128,-0.321868927871179,0.0793317084388264,-4.0572544598529,4.96529748423622e-05,0.0307990309665053
"Pcf11",1917.07421529677,-0.373824082950551,0.0913466036181612,-4.09236981063004,4.26986977832914e-05,0.0307990309665053
"Zmym4",4683.67438188246,-0.282213989842941,0.071919122134329,-3.92404664389295,8.70738651494913e-05,0.0472593403098864
"Ahctf1",6869.63884565072,-0.302418662672678,0.0779039982802176,-3.88194020010232,0.000103626363234757,0.0499939632405908
"Trim33",3464.10504224716,-0.286383456159497,0.0743978603422877,-3.84935070500565,0.000118431341077371,0.0514228882957943
"Plk2",2315.40320056632,0.580531337376608,0.15204461754483,3.81816434380152,0.00013444835312074,0.053070431750023
"Eif4a2",8421.8331528215,0.279122778645727,0.0756608637216073,3.68913021760832,0.000225022030691626,0.0814204714385868
"1110038B12Rik",1772.99979640923,0.328979607663595,0.090646937790312,3.62924127039573,0.000284255472741849,0.0827149730093171
"Hells",5288.03180309663,-0.245315812771322,0.0676194626836967,-3.62788763819131,0.000285749561294278,0.0827149730093171
"Ubr1",1845.90447184333,-0.313490910025961,0.0857601543667106,-3.65543780023382,0.000256743454109919,0.0827149730093171
"Cdkn1a",6539.98479426235,0.440409805085396,0.122448828935047,3.59668450009441,0.000322299005909377,0.0874638927286571
"Ddit4",1899.56945341535,0.309358458893895,0.0886702435016408,3.48886443385227,0.000485077091875353,0.123894396054281
"Zfp334",2052.18349869915,-0.260556188895047,0.0765973909422983,-3.4016326886555,0.000669846019937014,0.161581745475917
"Map4k5",1722.47765299143,-0.298902313230144,0.0885708664019849,-3.37472495609962,0.000738894984187422,0.168856948491673
"Fbxo38",2490.77215365825,-0.235654488923786,0.070866200188972,-3.3253439339966,0.000883095245158963,0.191719977724011
"Tfrc",5149.20223262023,-0.434174323927151,0.131677928169588,-3.29724449619209,0.00097638465544342,0.201879151139778
"Iws1",3736.29743110646,-0.203955111384248,0.0621376526084651,-3.28231117241243,0.00102959917618892,0.20320543740965
"Sirt1",2097.40824736707,-0.356085515267149,0.111097037493884,-3.20517561313686,0.00134980098468017,0.244789503972514
"Wdhd1",2610.95399722281,-0.421104538530449,0.131411055158507,-3.20448335204763,0.00135305115046991,0.244789503972514
"Sec24a",1782.04066974451,-0.251560332628517,0.0799053012418351,-3.1482308272284,0.00164261927328231,0.259266746069893
"Strn3",2789.67747055944,-0.25402098620338,0.0805216903185341,-3.1546901859425,0.00160668621073154,0.259266746069893
"Usp7",8629.96358681015,-0.184208992755139,0.058608177710237,-3.1430595516189,0.00167191821509834,0.259266746069893
"Rbm34",2312.30440871622,-0.233942757755735,0.0738240479693502,-3.16892346316287,0.00153004680647533,0.259266746069893
"Pik3c2a",1946.72492467041,-0.235268705182971,0.0759014707554629,-3.09965937209508,0.0019374331412944,0.29008050687932
