"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zeb2",1983.08320034363,0.563013812038831,0.0934701094096859,6.02346371042643,1.70723402282827e-09,3.12082379373008e-05
"Pcf11",1926.57983813736,-0.419488870310722,0.0785691961231581,-5.3391009582581,9.34086207998241e-08,0.000853754794110392
"Hexim1",1118.11994834822,-0.507468617769892,0.107448408168025,-4.72290494035356,2.32499539442857e-06,0.0141669719367181
"Slitrk5",478.013389192987,0.495022262701017,0.115610889736989,4.28179615109941,1.85390779008712e-05,0.0743077206855725
"Cstf3",1923.52194963722,-0.338963955596322,0.0795448833553906,-4.2612917550196,2.03248688964914e-05,0.0743077206855725
"Lpar6",1410.72742492108,0.543778522500308,0.140776907832294,3.86269687886672,0.00011214212235458,0.341659666106955
"Rbm12",4836.86386333686,0.30067230068855,0.0804389390119418,3.73789490987584,0.000185567476179614,0.376908162729261
"Hnrnpdl",8620.94718605535,0.28885870656105,0.0761567709778564,3.79294845162277,0.000148869068911949,0.376908162729261
"Csgalnact2",690.609098907207,-0.433945984219668,0.115679809574558,-3.75126814104912,0.000175942411548882,0.376908162729261
"Prmt6",1177.5547210273,0.345555256502878,0.0933436857816096,3.70196712942483,0.000213934339556898,0.391071972710009
"Cnnm4",315.54615866796,-0.561988348170045,0.156775399818803,-3.58467175857677,0.000337502398498264,0.466092975937634
"Elf1",563.643181301354,-0.549467648107718,0.154696860556778,-3.55189915380377,0.000382461413515564,0.466092975937634
"Usp20",327.275571597305,-0.458382020786669,0.127130691063539,-3.60559686218942,0.000311436296751106,0.466092975937634
"Pnrc1",542.589370091036,-0.45315785831797,0.126989001956353,-3.5684811388133,0.000359056696013028,0.466092975937634
"Sall1",8191.21423504592,0.330784818783387,0.0914458711535226,3.61727451016409,0.000297721503119807,0.466092975937634
"Kansl1l",162.763085476104,-0.632579423002144,0.181292192005116,-3.48928112129778,0.000484321511628341,0.472611710652658
"Plekhh3",153.466509577792,-0.668085215819441,0.191539775279558,-3.48797117906372,0.000486700538572861,0.472611710652658
"Cbx4",252.167738694279,-0.548813921847561,0.157942930250665,-3.47476092140724,0.000511308834416062,0.472611710652658
"Jag1",1057.54165931858,0.358627579207945,0.103298838117054,3.47174843149313,0.000517080646228291,0.472611710652658
"Rnf34",986.552843381158,-0.355257224379095,0.101188340327296,-3.51085138099911,0.000446674046009644,0.472611710652658
"Zfp516",1680.60500511367,0.306766269382624,0.0890683112272981,3.44416847199191,0.000572818652374449,0.498624998352615
"Rbm5",2634.09358632385,-0.305090167126286,0.0891123227406252,-3.42365856643976,0.00061784194655593,0.513370490138291
"Sqstm1",3168.39216981489,-0.266382981381988,0.0793838174652364,-3.35563330018289,0.000791834857901649,0.629336574019223
"Rnf19b",679.579042509568,-0.377606973529472,0.112945899742583,-3.34325526105934,0.000828016958253463,0.630672916536387
"Phf20l1",1541.68295264671,-0.327914801196693,0.0985066983715682,-3.32885790121393,0.000872028833880707,0.637627483333573
"Col11a2",315.033206798656,-0.749852156409601,0.226453551465437,-3.31128459481921,0.000928687072855336,0.652938449684444
"Btbd19",361.698920427219,0.447580082850083,0.135765575453108,3.2967125971095,0.000978235475421219,0.662301647803699
"Cpne1",2483.33265559592,-0.282711207080269,0.0860686203434982,-3.28471870412206,0.00102084235335014,0.666464222115735
"Glcci1",445.391345248526,-0.416147310812024,0.127352121109724,-3.26769045686707,0.00108428884256447,0.683475863519947
"Dstyk",420.723578761945,-0.397545136795269,0.123115710326827,-3.22903661717853,0.00124207990068582,0.72952424109176
"Tbcel",1206.31982099975,-0.300917833374524,0.093326359271887,-3.22436057424957,0.00126254319604969,0.72952424109176
