"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dhx9",14669.1631393708,-0.543806181486226,0.0615236380436974,-8.83897959837787,9.65967551666739e-19,1.76801040981563e-14
"Rbm5",2702.54302607663,-0.308932243356065,0.0635189618953255,-4.86362235996807,1.15256719113946e-06,0.0105477186497128
"Cstf3",1969.10690355405,-0.349979689945599,0.0768996627728911,-4.55112125756909,5.33607827469116e-06,0.0325554135538908
"Cnnm4",314.484352902895,-0.67174288357918,0.15170994059779,-4.42781060313043,9.51944329394006e-06,0.034846874121797
"Pcf11",1950.68439222921,-0.468481927056244,0.105667546469639,-4.43354599125523,9.26957222037936e-06,0.034846874121797
"Fam178a",3217.84330824103,-0.259895018146504,0.0648082482948644,-4.01021513440749,6.06634493639813e-05,0.185053852284825
"Zeb2",1953.38563139321,0.459897574416894,0.117459376367921,3.9153755846306,9.02635823948364e-05,0.236013478367527
"2310035C23Rik",1102.86229475241,-0.348087522597044,0.090289308722586,-3.85524629130281,0.000115613175703621,0.264508494362921
"Jag1",1088.87741208735,0.364850824805503,0.0998341580279354,3.65456905745037,0.000257614318589138,0.523901652570778
"Sp6",347.417955455937,0.538138109188672,0.149187545684531,3.60712488914195,0.000309608661276051,0.532299721661022
"Ager",98.5582208346792,-0.862147383989513,0.239577163160505,-3.59862088947066,0.000319909137205444,0.532299721661022
"Phf20l1",1575.64830522599,-0.344454604621135,0.0972223446462509,-3.54295718617415,0.000395666932766746,0.603490989202479
"Kansl1l",168.810987740386,-0.596722182550608,0.171940002876325,-3.47052560525909,0.000519440815352886,0.679094660243134
"Snrk",589.616329797391,-0.364601178841276,0.104920070255497,-3.47503750191375,0.000510781938178011,0.679094660243134
"Lif",133.843038934403,0.789238315113143,0.229387607120178,3.44063188513779,0.000580357521463981,0.708152247690349
"Csgalnact2",718.932746725397,-0.389256025995266,0.114874121012623,-3.38854410866388,0.000702647267148229,0.803784558163377
"Ncapd3",2142.48065278488,-0.24271494248839,0.0726663723722173,-3.3401274147158,0.000837399608548048,0.901583825603231
"Xkr4",31.6274655137698,-0.205183125824885,0.387330951180025,-0.529735940801487,0.596295025200776,0.99990827217437
"Sox17",53.9613610552902,0.105895199945716,0.299165285400224,0.353968876449182,0.723362208123902,0.99990827217437
"Mrpl15",2309.603836247,0.0625017836322211,0.0856143306659356,0.730038804789599,0.465366465323073,0.99990827217437
"Lypla1",3843.73613566723,-0.0387957428902088,0.0698065773352887,-0.555760565424496,0.578374546902789,0.99990827217437
"Tcea1",2591.33120192947,-0.00246277838476172,0.085659463892162,-0.0287508031554126,0.977063338035791,0.99990827217437
"Rgs20",122.899971487203,0.153128539304898,0.215853587469176,0.709409285712077,0.478070527067512,0.99990827217437
"Atp6v1h",1318.23985802235,0.0220252444852845,0.110835153091967,0.19872074762245,0.84248119343899,0.99990827217437
"Oprk1",22.4459377625396,0.198698218331158,0.506817728995186,0.392050646541305,0.695020792591967,0.99990827217437
"Npbwr1",14.8470877196903,0.943113839470355,1.18032775016006,0.799027083233839,0.424274708042111,0.99990827217437
"Rb1cc1",1736.92065827935,-0.161183380691955,0.131855109402953,-1.22242802286389,0.221545807453545,0.99990827217437
"Fam150a",0.840456530330442,0.675259395152243,2.79662604587612,0.241455019039094,0.809202474817363,0.99990827217437
"St18",2.2910860398755,0.974963251814664,1.44239122717987,0.675935372763523,0.499081678131298,0.99990827217437
"Pcmtd1",715.925202885784,-0.136711059545507,0.118839128715709,-1.15038759559194,0.249984266871614,0.99990827217437
"Sntg1",11.9176193923827,0.00869823862203155,0.62285859709927,0.0139650294024042,0.988857880809655,0.99990827217437
"Rrs1",4123.35198373787,0.0943203935257573,0.160755183768035,0.586733138645524,0.557382947795115,0.99990827217437
"Adhfe1",8.13940592151086,0.133391054014417,0.85094442509146,0.156756481482418,0.875436771483778,0.99990827217437
"2610203C22Rik",0.475057769461453,-0.762379134868443,3.24038961228329,-0.235273910266378,0.813996143416267,0.99990827217437
"3110035E14Rik",1.49243801948194,-1.77639142857284,2.39000521089058,-0.74325839143711,0.457325257446494,0.99990827217437
"Mybl1",755.589870781418,-0.082725082076407,0.209918924907958,-0.394081105896856,0.693521159966782,0.99990827217437
"Vcpip1",2283.99013622435,-0.0847436512431954,0.160960299349696,-0.526487907798213,0.598549251504324,0.99990827217437
"1700034P13Rik",9.04972546944096,-0.269475975755022,0.722624903478456,-0.372912661130085,0.709213448430436,0.99990827217437
"Sgk3",34.3557562796951,0.219504855307131,0.394750910897526,0.556059148307102,0.578170420725601,0.99990827217437
"Mcmdc2",1.00606983736164,1.07817221226349,2.25457260489064,0.478215786852333,0.63249662740548,0.99990827217437
"Snhg6",461.777116349868,0.00867346848797866,0.133048097738966,0.0651904734857285,0.948022346052586,0.99990827217437
"Snord87",21.2065035303281,0.467296256900399,0.451144988072123,1.03580061677576,0.300295169783748,0.99990827217437
"Tcf24",19.1400352717652,-0.0919915965127585,0.811916748423914,-0.113301759929613,0.909791322004754,0.99990827217437
"Ppp1r42",0.832028880647951,0.644984569184439,2.39021013631686,0.26984429502015,0.787280043905285,0.99990827217437
"Cops5",2450.62133213741,0.0513201993733629,0.0744872000475556,0.688980111221768,0.490835783601081,0.99990827217437
"Cspp1",731.73752117106,-0.178647455814748,0.125195430867057,-1.42694868796331,0.153594685439588,0.99990827217437
"Arfgef1",3191.32222020911,-0.12732006724975,0.0896390556813027,-1.42036377204169,0.155501804081931,0.99990827217437
"Cpa6",1.33907158206147,1.65293587923322,2.44049851254427,0.677294360450152,0.498219208342964,0.99990827217437
"Prex2",1115.79924692109,-0.107802375516516,0.12438068065434,-0.866713182058425,0.386099180970413,0.99990827217437
"A830018L16Rik",119.705482653611,0.159292788395247,0.489034711234202,0.325729001921422,0.744629399528347,0.99990827217437
"Sulf1",2064.20993603049,0.0502866508828009,0.140289427025783,0.35844932828444,0.720007082034765,0.99990827217437
"Slco5a1",434.137883690404,-0.134950561779892,0.267271147727122,-0.504920051893043,0.613614989763096,0.99990827217437
"Prdm14",1.78420427296767,-0.127283122200461,1.74381399643219,-0.072991226392769,0.941813099212628,0.99990827217437
"Ncoa2",2663.14577945712,0.0568647710744263,0.110985737873972,0.512361066959775,0.608398333671829,0.99990827217437
"Tram1",3580.25926967698,-0.0333534943874909,0.0624887793693721,-0.533751734696847,0.59351331068162,0.99990827217437
"Lactb2",919.553620721009,0.0440991947567775,0.141683200510764,0.311252107503227,0.755608972831055,0.99990827217437
"Gm5523",5.84539212928964,-1.49621778919371,0.922503887997295,-1.62190946689874,0.104822734220475,0.99990827217437
"Eya1",208.045731346681,0.582146961577373,0.273027974953498,2.13218796233801,0.032991397656557,0.99990827217437
"Msc",0.670199834936803,-1.44707247560252,2.94941103132156,-0.490630997251721,0.623687458618272,0.99990827217437
"Trpa1",62.5303560184131,0.11959543163044,0.769248374147098,0.155470502960817,0.876450406395646,0.99990827217437
"Kcnb2",22.3577706847859,-0.3355002595924,0.587258409661904,-0.571299199930665,0.567796843967949,0.99990827217437
"Terf1",1484.64278772696,0.00864487845775826,0.108357048489817,0.0797814131913225,0.936411107320025,0.99990827217437
"Sbspon",1.19283758839335,2.56574353583651,2.52545292794822,1.01595381463753,0.309651380490804,0.99990827217437
"4930444P10Rik",2.52240938284007,0.259961257490739,1.60725007412755,0.161742881008639,0.871508334948191,0.99990827217437
"Rpl7",33157.2125301975,0.036720140260238,0.051574609256967,0.711980968722077,0.476476561017818,0.99990827217437
"Rdh10",690.368989305009,0.141835107283075,0.211841775854091,0.669533224555133,0.503155394052852,0.99990827217437
"Stau2",654.243630209408,-0.0106517427418605,0.13839653773897,-0.0769653845094793,0.938651082415472,0.99990827217437
"Ube2w",853.165258639775,-0.0693579202072158,0.135889821486235,-0.51039819942836,0.609772518075926,0.99990827217437
"Tceb1",2359.3827097541,0.0296849985017231,0.0920428611663123,0.322512774218147,0.7470642619112,0.99990827217437
"D030040B21Rik",1.2135809088561,1.29066742210154,2.52602954513028,0.510947080801059,0.609388112683683,0.99990827217437
"Tmem70",846.292898164823,0.0637842091777003,0.0958470003837976,0.665479450815266,0.505743882637171,0.99990827217437
"Ly96",7.54936375154467,0.385936679205407,0.752038554686816,0.51318735828129,0.607820268087085,0.99990827217437
"Jph1",287.385304482836,-0.12049146452201,0.17577022856309,-0.685505534737139,0.493024969260587,0.99990827217437
"Gdap1",159.401204444847,-0.0044884126726843,0.332105355293424,-0.0135150264852509,0.989216897295871,0.99990827217437
"Pi15",0.953054249662771,-0.88713116503195,2.70591865888422,-0.327848422981701,0.743026272658904,0.99990827217437
"Gm16070",2.19512316443494,2.57532038352709,1.69855687647609,1.51618142388612,0.129473483873087,0.99990827217437
"Crispld1",89.4878696711557,0.296561170172378,0.518724630984336,0.571712142547811,0.567517006792376,0.99990827217437
"Defb44-ps",0.344368105122182,1.94470052085685,4.03670270401495,0.481754705126693,0.629980209470822,0.99990827217437
"Tfap2b",4.25069266413186,-0.123363031767445,1.05711819758546,-0.116697481936472,0.907099785766334,0.99990827217437
"Pkhd1",0.173071617879803,1.03694142859687,4.0804728567969,0.254122859038167,0.799400643958029,0.99990827217437
"Il17f",2.17590574625689,-0.611962630718131,1.55254181549698,-0.394168211515924,0.693456853325074,0.99990827217437
"Mcm3",11223.0229473146,0.046079736894245,0.0645636409311681,0.713710321005147,0.475406323005755,0.99990827217437
"6720483E21Rik",0.66854849255308,0.0747229050103597,2.99270207995091,0.0249683740693579,0.980080189576929,0.99990827217437
"Paqr8",162.327713658062,-0.265510163188146,0.220323970321791,-1.2050897721222,0.228168647779003,0.99990827217437
"Efhc1",59.5805691444115,-0.359056546848218,0.287625334939762,-1.24834812247473,0.211903598319255,0.99990827217437
"Tram2",78.4167116371506,0.0160504534965456,0.309076881539617,0.0519302945486989,0.958584235276207,0.99990827217437
