"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dhx9",14358.6875085836,-0.547927089780544,0.0799650455164208,-6.85208250982646,7.27825535669333e-12,1.32755377706086e-07
"Zeb2",1879.99535069229,0.576906168973949,0.113926232950427,5.06385714715048,4.10857568694886e-07,0.00374702102649736
"Trim30a",578.946342471959,7.76921488605892,1.62632768032728,4.77715221848493,1.77795185131184e-06,0.010809947255976
"Pcf11",1853.11890675809,-0.459536653309263,0.10203884348306,-4.503546273391,6.68288081595871e-06,0.0304739365207717
"Cstf3",1880.68470081562,-0.377764701017335,0.0867983404850538,-4.35221110111412,1.34771399767647e-05,0.0491646066352377
"Cnnm4",296.973652679039,-0.613067287240221,0.150933548110696,-4.06183578743271,4.86883220286439e-05,0.136324012525157
"Kansl1l",167.988692307332,-0.692605264159323,0.171223936074426,-4.04502594694626,5.2317329368207e-05,0.136324012525157
"Sp6",365.31056833218,0.608524271642391,0.164835835572763,3.6916988925856,0.000222761097161837,0.45146249024799
"Zfp566",328.610342021406,0.47768275379799,0.128598477556818,3.71452884103497,0.000203582651254552,0.45146249024799
"Rnf19b",755.829494429061,-0.374267007298781,0.10333071893273,-3.62203042003835,0.000292299738292494,0.53315472264551
"Boc",602.755731695587,0.451013388777494,0.127077266693038,3.54912723978351,0.000386510266896911,0.64090429710906
"Xkr4",36.8494599597586,0.162800715904816,0.355836068329143,0.457516059766677,0.647300161715925,0.99987897358462
"Rp1",0.152592122824441,-0.986625704478743,4.0804728567969,-0.241792002815386,0.808941335912051,0.99987897358462
"Sox17",53.1988842813073,0.186649464026732,0.488136378924127,0.382371550422272,0.702185789519692,0.99987897358462
"Mrpl15",2270.86085014018,0.0435190747802565,0.0744323002143486,0.584679966290592,0.55876292714664,0.99987897358462
"Lypla1",3711.89598010873,0.0055622766772558,0.0837615047064678,0.0664061217231965,0.947054496532881,0.99987897358462
"Tcea1",2539.95117745141,0.0432624022851751,0.0736166282517039,0.587671607795671,0.556752736410783,0.99987897358462
"Rgs20",127.394658040267,-0.149054743876834,0.215711403811585,-0.69099148790032,0.489570890315284,0.99987897358462
