"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dhx9",8908.7501186566,-0.774295466279919,0.110901722781041,-6.98181639440036,2.91387792439076e-12,3.09949194817445e-08
"Rbm12",2503.15370793559,0.500444753632762,0.0919114464768489,5.44485777142911,5.18467959179255e-08,0.000275747184089487
"Cnnm4",414.558351570244,-0.685374485359369,0.128399680451064,-5.33782080260379,9.40703627996097e-08,0.000333542149699816
"Ednra",1013.33431949286,0.431605808158657,0.0987050034776042,4.37268418977956,1.22728196702244e-05,0.0326364957080443
"Hexim1",1269.08985133916,-0.520670586711945,0.12233425859881,-4.25613064300707,2.07995198736705e-05,0.0442488985792466
"Crp",534.285616437499,0.529035032318252,0.127345351285891,4.15433329113496,3.26237364969095e-05,0.0451310597487697
"Sall2",2851.05235876788,0.42946496574344,0.103358913685094,4.15508397323042,3.25168096793067e-05,0.0451310597487697
"Zhx2",760.082017673709,0.491834188027597,0.119429620009028,4.11819268947198,3.81855351827514e-05,0.0451310597487697
"Zmynd8",2168.77492862812,0.408167718312143,0.0989360920041504,4.12556944633532,3.69818564182216e-05,0.0451310597487697
"Sncaip",1242.24037687937,0.446059960554247,0.109514606675967,4.0730636222258,4.63987430082554e-05,0.0493543429378813
"Mknk2",2681.79936981508,-0.366099714674849,0.0918082958151098,-3.98765396334257,6.67298983123094e-05,0.0643469777946742
"Chd7",3889.66497251791,0.378652659797231,0.0954908754489581,3.96532818467696,7.32950322165513e-05,0.0643469777946742
"Pcf11",1265.67415195206,-0.460054534202655,0.11651367484484,-3.94850248106333,7.8641601140431e-05,0.0643469777946742
"Rapgef5",284.914951274891,0.576893344423585,0.151579119223016,3.80588927670712,0.000141295587406358,0.0939350727025895
"Elf1",699.28941354746,-0.458290065794466,0.119521628028511,-3.83436933845266,0.000125886867700675,0.0939350727025895
"Zfp462",4731.19774735753,0.428862522430949,0.112551039711782,3.81038259201486,0.000138751895727801,0.0939350727025895
"Mxd1",662.69469924478,-0.470215750023713,0.124084741837586,-3.78947276724141,0.000150967359734095,0.0944611650289156
"Csrnp3",1445.50525286508,0.536455143889098,0.143250081905169,3.744885425226,0.000180476118756927,0.106651359734302
"Opn3",304.439082196086,-0.599127624288727,0.161356222539887,-3.71307418367843,0.000204756836614801,0.114631498477455
"Cstf3",1696.14318486198,-0.355360248326009,0.100721167800133,-3.52815853993246,0.000418461446171967,0.222558720146561
"Cpne1",2598.24456807313,-0.288494735909972,0.0827425922516029,-3.48665334333157,0.000489104894650633,0.24774327449518
"Zeb1",2476.03464079312,0.297256738157544,0.0873836788684199,3.40174208738849,0.000669577956221394,0.323740941833044
"Fam65b",181.971966857219,0.828446673060072,0.248680184474336,3.33137388815782,0.000864184466044925,0.399666528926951
"Bend3",1186.92749641439,0.340280587758697,0.104130076913006,3.26784150983562,0.00108371033753825,0.461097074415776
"Cep85",793.367209162054,-0.348058027283292,0.106493609246694,-3.2683466148378,0.00108177795120183,0.461097074415776
"Nrde2",468.855751806015,0.412800136735941,0.127650336235803,3.2338350913028,0.00122139958899532,0.488799164570592
"Zeb2",2202.19876986982,0.489223368015312,0.151492874209226,3.22934904079811,0.00124072364796521,0.488799164570592
"E130317F20Rik",347.190881084928,0.529270547339587,0.166629911808737,3.17632375600787,0.00149154389345113,0.532223256314166
"Slc25a30",438.338751441403,-0.409181814242478,0.130034594694258,-3.14671503536855,0.00165115798236039,0.532223256314166
"Zfp608",2524.85196348095,0.4106251956048,0.129774280814086,3.16414926770473,0.0015553700247119,0.532223256314166
"Rnf19b",805.592565843905,-0.358450075029163,0.112570979677091,-3.18421387161571,0.00145147727658421,0.532223256314166
"Zfp827",1791.15833789622,0.307629974342379,0.0973246668166297,3.16086337004356,0.0015730226540394,0.532223256314166
"Tox3",874.26806131995,0.493668537218558,0.156507357709459,3.15428325187757,0.00160892843118534,0.532223256314166
"Dyrk1b",679.011985767913,0.352455148197656,0.112785904991271,3.12499286346937,0.00177809373557194,0.556281854861139
